#Compiled by SeeTweet 2.1.7b.
#Search performed at 2013-10-13 14:56
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: y'all
source,city,state,lat,long,uid,tid,center,incl
citystate,detroit,mi,42.331427,-83.0457538,119313054,389507276626616320,0,1
geo,unk,unk,43.631698,-80.039275,419260454,389507269781901313,0,1
geo,unk,unk,29.6952614,-95.1966017,249448525,389507265511686145,0,1
citystate,missouri city,tx,29.6185669,-95.5377215,377658779,389507262441459712,0,1
geo,unk,unk,39.1515859,-75.5058112,846146076,389507252589441024,0,1
citystate,athens,ga,33.960948,-83.3779358,368666913,389507249938657280,0,1
citystate,charlotte,nc,35.2270869,-80.8431268,551149268,389507248759652352,0,1
citystate,fort mill,sc,35.0073697,-80.9450759,1486283996,389507239675199488,0,1
knowncity,new orleans,unk,29.97,-90.05,243746522,389507226987024384,0,1
citystate,radcliff,ky,37.8403456,-85.9491298,341387036,389507223132856320,0,1
citystate,muncie,in,40.1933767,-85.3863599,66203342,389507192358834176,0,1
knowncity,twin cities mn,unk,44.95,-93.2,64815418,389507180476784640,0,1
geo,unk,unk,41.1082392,-87.8407678,1270663932,389507175971708928,0,1
citystate,martinsville,va,36.6915262,-79.8725386,169275662,389507168631668736,0,1
citystate,austin,tx,30.267153,-97.7430608,1609047007,389507168074235904,0,1
knowncity,chicago,unk,41.88,-87.62,172648490,389507166480384000,0,1
citystate,houston,tx,29.7632836,-95.3632715,282808286,389507152714674176,0,1
citystate,dayton,oh,39.7589478,-84.1916069,54900331,389507151993266177,0,1
geo,unk,unk,32.71424005,-86.91319237,396968654,389507149128536064,0,1
knowncity,chicago,unk,41.88,-87.62,113530871,389507148344225792,0,1
geo,unk,unk,26.54129609,-78.64700519,314881952,389507125116141568,0,1
citystate,jackson,ms,32.2987573,-90.1848103,28374049,389507121621905408,0,1
citystate,clinton,la,30.8657362,-91.0156594,88722342,389507120816603137,0,1
citystate,buffalo,ny,42.8864468,-78.8783689,307226997,389507117834465280,0,1
citystate,abilene,tx,32.4487364,-99.7331439,596031524,389507114860683265,0,1
geo,unk,unk,32.86135454,-96.64278987,26419454,389507097815035904,0,1
citystate,houston,tx,29.7632836,-95.3632715,59238481,389507096867127296,0,1
geo,unk,unk,40.773839,-73.87122,20828056,389507080111280128,0,1
geo,unk,unk,40.02216494,-75.21222885,242072829,389507079444373504,0,1
citystate,ailey,ga,32.1874042,-82.5656886,436079140,389507065909354496,0,1
geo,unk,unk,32.71424005,-86.91319237,396968654,389507057696931840,0,1
geo,unk,unk,28.61160142,-81.49223792,115090709,389507052382351360,0,1
knowncity,baton rouge,unk,30.45,-91.14,349861677,389507049371209729,0,1
knowncity,detroit,unk,42.33,-83.05,422996812,389507039921074177,0,1
geo,unk,unk,29.97033202,-90.3829156,432824676,389507038306267139,0,1
knowncity,atlanta,unk,33.75,-84.39,169320175,389507022083088384,0,1
knowncity,atlanta,unk,33.75,-84.39,419786887,389507019574501376,0,1
citystate,parkersburg,wv,39.2667418,-81.5615135,1879559940,389507001036066816,0,1
citystate,goldsboro,nc,35.3848841,-77.9927651,1393145496,389506993393643521,0,1
geo,unk,unk,39.93059445,-75.5274987,28879034,389506961500553216,0,1
geo,unk,unk,34.69055087,-79.20140505,63207099,389506939270758400,0,1
knowncity,boston,unk,42.35,-71.06,44455565,389506937400090624,0,1
citystate,detroit,mi,42.331427,-83.0457538,310097198,389506933029228544,0,1
citystate,walhalla,sc,34.7648176,-83.0640417,37748788,389506925190463489,0,1
citystate,erie,pa,42.1292241,-80.085059,882197058,389506913957724160,0,1
